Site	Left	Right	Strand	Transcription-Units	Common-Name
AraC-arabinose DNA-binding-site 166 bases upstream of araFp3	1986396	1986413	-	araFGH // araFGH	
AraC-arabinose DNA-binding-site 25 bases upstream of xylAp	3730824	3730841	-	xylAB	
AraC-arabinose DNA-binding-site 31 bases upstream of araCp	70184	70201		araC // araBAD	
AraC-arabinose DNA-binding-site 43 bases upstream of araJp	412564	412581	-	araJ	
AraC-arabinose DNA-binding-site 44 bases upstream of araEp	2982244	2982261	-	araE-ygeA // araE	
AraC-arabinose DNA-binding-site 48 bases upstream of xylAp	3730847	3730864	-	xylAB	
AraC-arabinose DNA-binding-site 64 bases upstream of araJp	412585	412602	-	araJ	
AraC-arabinose DNA-binding-site 65 bases upstream of araEp	2982265	2982282	-	araE-ygeA // araE	
AraC-arabinose DNA-binding-site 70 bases upstream of araFp3	1986300	1986317	-	araFGH // araFGH	
AraC-arabinose DNA-binding-site 91 bases upstream of araFp3	1986321	1986338	-	araFGH // araFGH	
ArcA-Pasp54 DNA-binding-site (BS0-9014)	990501	990516			
ArcA-Pasp54 DNA-binding-site (BS0-9446)	1151553	1151568			
ArcA-Pasp54 DNA-binding-site (BS0-9447)	1488205	1488220			
ArcA-Pasp54 DNA-binding-site (BS0-9448)	4640612	4640627			
ArcA-Pasp54 DNA-binding-site (BS0-9449)	4640689	4640704			
ArcA-Pasp54 DNA-binding-site (BS0-9450)	3384517	3384532			
ArcA-Pasp54 DNA-binding-site (BS0-9451)	3384506	3384521			
ArcA-Pasp54 DNA-binding-site (BS0-9452)	2427910	2427925			
ArcA-Pasp54 DNA-binding-site (BS0-9453)	29340	29355			
ArcA-Pasp54 DNA-binding-site (BS0-9454)	2788861	2788876			
ArcA-Pasp54 DNA-binding-site (BS0-9455)	2788839	2788854			
ArcA-Pasp54 DNA-binding-site (BS0-9456)	4429711	4429726			
ArcA-Pasp54 DNA-binding-site (BS0-9457)	771306	771321			
ArcA-Pasp54 DNA-binding-site (BS0-9458)	771272	771287			
ArcA-Pasp54 DNA-binding-site (BS0-9459)	771071	771086			
ArcA-Pasp54 DNA-binding-site (BS0-9460)	771051	771066			
ArcA-Pasp54 DNA-binding-site (BS0-9461)	771040	771055			
ArcA-Pasp54 DNA-binding-site (BS0-9462)	451854	451869			
ArcA-Pasp54 DNA-binding-site (BS0-9463)	451672	451687			
ArcA-Pasp54 DNA-binding-site (BS0-9464)	4366790	4366805			
ArcA-Pasp54 DNA-binding-site (BS0-9465)	4366812	4366827			
ArcA-Pasp54 DNA-binding-site (BS0-9466)	4348986	4349001			
ArcA-Pasp54 DNA-binding-site (BS0-9467)	4349004	4349019			
ArcA-Pasp54 DNA-binding-site (BS0-9468)	4348734	4348749			
ArcA-Pasp54 DNA-binding-site (BS0-9469)	3707882	3707897			
ArcA-Pasp54 DNA-binding-site (BS0-9470)	243375	243390			
ArcA-Pasp54 DNA-binding-site (BS0-9471)	3539889	3539904			
ArcA-Pasp54 DNA-binding-site (BS0-9472)	3539869	3539884			
ArcA-Pasp54 DNA-binding-site (BS0-9473)	954671	954686			
ArcA-Pasp54 DNA-binding-site (BS0-9474)	954751	954766			
ArcA-Pasp54 DNA-binding-site (BS0-9475)	954762	954777			
ArcA-Pasp54 DNA-binding-site (BS0-9476)	2243807	2243822			
ArcA-Pasp54 DNA-binding-site (BS0-9477)	1688458	1688473			
ArcA-Pasp54 DNA-binding-site (BS0-9478)	2942616	2942631			
ArcA-Pasp54 DNA-binding-site (BS0-9479)	2942596	2942611			
ArcA-Pasp54 DNA-binding-site (BS0-9480)	3561922	3561937			
ArcA-Pasp54 DNA-binding-site (BS0-9481)	728904	728919			
ArcA-Pasp54 DNA-binding-site (BS0-9482)	728937	728952			
ArcA-Pasp54 DNA-binding-site (BS0-9483)	728961	728976			
ArcA-Pasp54 DNA-binding-site (BS0-9484)	2313242	2313257			
ArcA-Pasp54 DNA-binding-site (BS0-9485)	2313467	2313482			
ArcA-Pasp54 DNA-binding-site (BS0-9486)	1862733	1862748			
ArcA-Pasp54 DNA-binding-site (BS0-9487)	1862475	1862490			
ArcA-Pasp54 DNA-binding-site (BS0-9488)	1862006	1862021			
ArcA-Pasp54 DNA-binding-site (BS0-9489)	3526215	3526230			
ArcA-Pasp54 DNA-binding-site (BS0-9490)	3526225	3526240			
ArcA-Pasp54 DNA-binding-site (BS0-9491)	2513151	2513166			
ArcA-Pasp54 DNA-binding-site (BS0-9492)	2513125	2513140			
ArcA-Pasp54 DNA-binding-site (BS0-9493)	1300858	1300873			
ArcA-Pasp54 DNA-binding-site (BS0-9494)	1300701	1300716			
ArcA-Pasp54 DNA-binding-site (BS0-9495)	4611145	4611160			
ArcA-Pasp54 DNA-binding-site (BS0-9496)	4611122	4611137			
ArcA-Pasp54 DNA-binding-site (BS0-9497)	1084883	1084898			
ArcA-Pasp54 DNA-binding-site (BS0-9498)	1084894	1084909			
ArcA-Pasp54 DNA-binding-site (BS0-9499)	4004717	4004732			
ArcA-Pasp54 DNA-binding-site (BS0-9500)	4004831	4004846			
ArcA-Pasp54 DNA-binding-site (BS0-9501)	1678079	1678094			
ArcA-Pasp54 DNA-binding-site (BS0-9502)	1678202	1678217			
ArcA-Pasp54 DNA-binding-site (BS0-9503)	893568	893583			
ArcA-Pasp54 DNA-binding-site (BS0-9504)	893498	893513			
ArcA-Pasp54 DNA-binding-site (BS0-9505)	1079154	1079169			
ArcA-Pasp54 DNA-binding-site (BS0-9506)	1360938	1360953			
ArcA-Pasp54 DNA-binding-site (BS0-9507)	3966149	3966164			
ArcA-Pasp54 DNA-binding-site (BS0-9508)	1682040	1682055			
ArcA-Pasp54 DNA-binding-site (BS0-9509)	1681710	1681725			
ArcA-Pasp54 DNA-binding-site (BS0-9510)	3239763	3239778			
ArcA-Pasp54 DNA-binding-site (BS0-9511)	3239862	3239877			
ArcA-Pasp54 DNA-binding-site (BS0-9512)	4160810	4160825			
ArcA-Pasp54 DNA-binding-site (BS0-9513)	4160821	4160836			
ArcA-Pasp54 DNA-binding-site (BS0-9514)	4160667	4160682			
ArcA-Pasp54 DNA-binding-site (BS0-9515)	4196304	4196319			
ArcA-Pasp54 DNA-binding-site (BS0-9516)	98	113			
ArcA-Pasp54 DNA-binding-site (BS0-9517)	1388824	1388839			
ArcA-Pasp54 DNA-binding-site (BS0-9518)	1832017	1832032			
ArcA-Pasp54 DNA-binding-site (BS0-9519)	1832006	1832021			
ArcA-Pasp54 DNA-binding-site (BS0-9520)	1831995	1832010			
ArcA-Pasp54 DNA-binding-site (BS0-9521)	859118	859133			
ArcA-Pasp54 DNA-binding-site (BS0-9522)	2266224	2266239			
ArcA-Pasp54 DNA-binding-site (BS0-9523)	2266213	2266228			
ArcA-Pasp54 DNA-binding-site (BS0-9524)	2278475	2278490			
ArcA-Pasp54 DNA-binding-site (BS0-9525)	2278263	2278278			
ArcA-Pasp54 DNA-binding-site (BS0-9526)	2278286	2278301			
ArcA-Pasp54 DNA-binding-site (BS0-9527)	3893763	3893778			
ArcA-Pasp54 DNA-binding-site (BS0-9528)	4571666	4571681			
ArcA-Pasp54 DNA-binding-site (BS0-9529)	1523103	1523118			
ArcA-Pasp54 DNA-binding-site (BS0-9530)	1523146	1523161			
ArcA-Pasp54 DNA-binding-site (BS0-9531)	2498501	2498516			
ArcA-Pasp54 DNA-binding-site (BS0-9532)	2498479	2498494			
ArcA-Pasp54 DNA-binding-site (BS0-9533)	2498463	2498478			
ArcA-Pasp54 DNA-binding-site 1.5 bases downstream of ompWp	1313983	1314001	+	ompW	
ArcA-Pasp54 DNA-binding-site 10 bases downstream of lldPp	3777291	3777306	+	lldPRD	
ArcA-Pasp54 DNA-binding-site 10 bases upstream of sodAp	4100742	4100757	+	sodA	
ArcA-Pasp54 DNA-binding-site 101 bases upstream of caiTp	42131	42146	-	caiTABCDE	
ArcA-Pasp54 DNA-binding-site 104 bases upstream of glcDp	3128173	3128188	-	glcDEFGBA	
ArcA-Pasp54 DNA-binding-site 108 bases upstream of nuoAp2	2405263	2405278	-	nuoABCEFGHIJKLMN	
ArcA-Pasp54 DNA-binding-site 111 bases upstream of glcDp	3128180	3128195	-	glcDEFGBA	
ArcA-Pasp54 DNA-binding-site 113 bases upstream of acnBp1	131399	131414	+	acnB	
ArcA-Pasp54 DNA-binding-site 114 bases upstream of focAp1	954600	954615	-	focA-pflB	
ArcA-Pasp54 DNA-binding-site 119 bases upstream of acnBp1	131393	131408	+	acnB	
ArcA-Pasp54 DNA-binding-site 13 bases downstream of aldAp	1488195	1488210	+	aldA	
ArcA-Pasp54 DNA-binding-site 135 bases downstream of cydAp1	771297	771312	+	cydAB	
ArcA-Pasp54 DNA-binding-site 137 bases upstream of aldAp	1488046	1488061	+	aldA	
ArcA-Pasp54 DNA-binding-site 137 bases upstream of moeAp	866524	866539	-	moeAB	
ArcA-Pasp54 DNA-binding-site 137 bases upstream of sdhCp	754814	754829	+	sdhCDAB-sucABCD-sdhX	
ArcA-Pasp54 DNA-binding-site 139 bases upstream of acnBp1	131373	131388	+	acnB	
ArcA-Pasp54 DNA-binding-site 143 bases upstream of acnBp1	131369	131384	+	acnB	
ArcA-Pasp54 DNA-binding-site 15 bases downstream of betTp	329428	329443		betT // betIBA	
ArcA-Pasp54 DNA-binding-site 15 bases downstream of fadEp	243385	243400	-	fadE	
ArcA-Pasp54 DNA-binding-site 153.5 bases upstream of ssbp1	4273931	4273946		ssb // ssb // uvrA // ssb	
ArcA-Pasp54 DNA-binding-site 156 bases upstream of rhaTp	4100715	4100730	-	rhaT	
ArcA-Pasp54 DNA-binding-site 157 bases upstream of aldAp	1488026	1488041	+	aldA	
ArcA-Pasp54 DNA-binding-site 16 bases downstream of icdAp1	1195016	1195031	+	icd	
ArcA-Pasp54 DNA-binding-site 16 bases downstream of ydeAp	1616963	1616978	+	ydeA	
ArcA-Pasp54 DNA-binding-site 16.5 bases upstream of iraMp1	1212099	1212114	-	iraM	
ArcA-Pasp54 DNA-binding-site 17 bases upstream of fadIp	2460521	2460536	-	fadIJ	
ArcA-Pasp54 DNA-binding-site 170 bases upstream of acnBp1	131342	131357	+	acnB	
ArcA-Pasp54 DNA-binding-site 170.5 bases upstream of iraMp1	1212253	1212268	-	iraM	
ArcA-Pasp54 DNA-binding-site 173 bases upstream of rhaTp	4100732	4100747	-	rhaT	
ArcA-Pasp54 DNA-binding-site 179 bases upstream of cadBp	4360278	4360293	-	cadBA	
ArcA-Pasp54 DNA-binding-site 18 bases upstream of lldPp	3777264	3777279	+	lldPRD	
ArcA-Pasp54 DNA-binding-site 18 bases upstream of lpdAp	127692	127707	+	lpdA	
ArcA-Pasp54 DNA-binding-site 184 bases upstream of rhaTp	4100743	4100758	-	rhaT	
ArcA-Pasp54 DNA-binding-site 19 bases downstream of fadHp	3231635	3231650	+	fadH	
ArcA-Pasp54 DNA-binding-site 197 bases upstream of appYp2	583454	583464	+	appY	
ArcA-Pasp54 DNA-binding-site 2 bases downstream of aldAp	1488184	1488199	+	aldA	
ArcA-Pasp54 DNA-binding-site 2 bases downstream of ptsGp1	1157760	1157775	+	ptsG	
ArcA-Pasp54 DNA-binding-site 200 bases upstream of cyoAp	451846	451861	-	cyoABCDE	
ArcA-Pasp54 DNA-binding-site 21 bases upstream of sodAp	4100731	4100746	+	sodA	
ArcA-Pasp54 DNA-binding-site 211 bases upstream of sdhCp	754740	754755	+	sdhCDAB-sucABCD-sdhX	
ArcA-Pasp54 DNA-binding-site 22 bases upstream of tpxp	1388859	1388874	-	tpx	
ArcA-Pasp54 DNA-binding-site 237 bases upstream of treBp	4466440	4466455	-	treBC	
ArcA-Pasp54 DNA-binding-site 24 bases downstream of rpoSp	2868088	2868103	-	rpoS	
ArcA-Pasp54 DNA-binding-site 251 bases upstream of focAp1	954737	954752	-	focA-pflB	
ArcA-Pasp54 DNA-binding-site 257 bases downstream of sdhCp	755207	755222	+	sdhCDAB-sucABCD-sdhX	
ArcA-Pasp54 DNA-binding-site 27 bases downstream of mdhp1	3384280	3384295	-	mdh	
ArcA-Pasp54 DNA-binding-site 27 bases upstream of lpdAp	127683	127698	+	lpdA	
ArcA-Pasp54 DNA-binding-site 27 bases upstream of sdhCp	754924	754939	+	sdhCDAB-sucABCD-sdhX	
ArcA-Pasp54 DNA-binding-site 28 bases downstream of caiTp	42003	42018	-	caiTABCDE	
ArcA-Pasp54 DNA-binding-site 29 bases upstream of arcZp	3350541	3350556	+	arcZ	
ArcA-Pasp54 DNA-binding-site 29 bases upstream of fadBp	4031035	4031050	-	fadBA	
ArcA-Pasp54 DNA-binding-site 293 bases upstream of cydAp1	770870	770885	+	cydAB	
ArcA-Pasp54 DNA-binding-site 3 bases downstream of betTp	329416	329431	+	betT	
ArcA-Pasp54 DNA-binding-site 3 bases upstream of icdAp1	1194998	1195013	+	icd	
ArcA-Pasp54 DNA-binding-site 304 bases upstream of cydAp1	770859	770874	+	cydAB	
ArcA-Pasp54 DNA-binding-site 315 bases upstream of cydAp1	770848	770863	+	cydAB	
ArcA-Pasp54 DNA-binding-site 32 bases upstream of sdhCp	754919	754934	+	sdhCDAB-sucABCD-sdhX	
ArcA-Pasp54 DNA-binding-site 34 bases upstream of acnAp2	1335740	1335755	+	acnA	
ArcA-Pasp54 DNA-binding-site 340 bases upstream of dcuCp	656416	656431	-	dcuC	
ArcA-Pasp54 DNA-binding-site 36 bases downstream of ndhp	1166020	1166035	+	ndh	
ArcA-Pasp54 DNA-binding-site 38 bases upstream of fadLp	2461160	2461175	+	fadL	
ArcA-Pasp54 DNA-binding-site 38 bases upstream of sodAp	4100714	4100729	+	sodA	
ArcA-Pasp54 DNA-binding-site 44 bases upstream of cydDp	931068	931083	-	cydDC	
ArcA-Pasp54 DNA-binding-site 47 bases upstream of gltAp1	754807	754822	-	gltA	
ArcA-Pasp54 DNA-binding-site 48 bases upstream of acnBp1	131464	131479	+	acnB	
ArcA-Pasp54 DNA-binding-site 48 bases upstream of ptsGp1	1157711	1157726	+	ptsG	
ArcA-Pasp54 DNA-binding-site 5 bases downstream of focAp2	954492	954507	-	focA-pflB // focA-pflB	
ArcA-Pasp54 DNA-binding-site 5 bases upstream of aldAp	1488178	1488193	+	aldA	
ArcA-Pasp54 DNA-binding-site 50 bases downstream of caiTp	41981	41996	-	caiTABCDE	
ArcA-Pasp54 DNA-binding-site 50.5 bases upstream of ssbp1	4274034	4274049		ssb // ssb // uvrA // ssb	
ArcA-Pasp54 DNA-binding-site 52 bases downstream of ndhp	1166036	1166051	+	ndh	
ArcA-Pasp54 DNA-binding-site 57 bases downstream of ndhp	1166041	1166056	+	ndh	
ArcA-Pasp54 DNA-binding-site 57 bases upstream of acnBp1	131455	131470	+	acnB	
ArcA-Pasp54 DNA-binding-site 57 bases upstream of hybOp1	3146413	3146428	-	hybOABCDEFG	
ArcA-Pasp54 DNA-binding-site 57 bases upstream of ndhp	1165928	1165943	+	ndh	
ArcA-Pasp54 DNA-binding-site 6 bases upstream of betIp	329360	329375	-	betIBA	
ArcA-Pasp54 DNA-binding-site 64 bases upstream of rpoSp	2868175	2868190	-	rpoS	
ArcA-Pasp54 DNA-binding-site 64.5 bases downstream of ybdNp	636615	636630	-	ybdN	
ArcA-Pasp54 DNA-binding-site 66 bases downstream of ndhp	1166050	1166065	+	ndh	
ArcA-Pasp54 DNA-binding-site 67 bases upstream of hyaAp2	1031910	1031925	+	hyaABCDEF // hyaABCDEF	
ArcA-Pasp54 DNA-binding-site 68 bases downstream of ndhp	1166052	1166067	+	ndh	
ArcA-Pasp54 DNA-binding-site 7 bases upstream of fadDp	1889807	1889822	-	fadD-sroD	
ArcA-Pasp54 DNA-binding-site 7.5 bases upstream of hyaAp2	1031966	1031988	+	hyaABCDEF // hyaABCDEF	
ArcA-Pasp54 DNA-binding-site 7.5 bases upstream of ssbp1	4274077	4274092		ssb // ssb // uvrA // ssb	
ArcA-Pasp54 DNA-binding-site 77.5 bases upstream of cydAp2	771199	771214	+	cydAB	
ArcA-Pasp54 DNA-binding-site 82 bases downstream of puuDp	1361126	1361141		puuDRCBE // puuAP	
ArcA-Pasp54 DNA-binding-site 82 bases upstream of grcAp1	2716598	2716613	-	grcA	
ArcA-Pasp54 DNA-binding-site 84 bases upstream of cydAp1	771079	771094	+	cydAB	
ArcA-Pasp54 DNA-binding-site 85 bases upstream of ptsGp1	1157674	1157689	+	ptsG	
ArcA-Pasp54 DNA-binding-site 90.5 bases upstream of ssbp1	4273994	4274009		ssb // ssb // uvrA // ssb	
ArcA-Pasp54 DNA-binding-site 91 bases upstream of caiTp	42121	42136	-	caiTABCDE	
ArcA-Pasp54 DNA-binding-site 95.5 bases upstream of dpiBp1	651884	651894		dpiBA // citCDEFXG	
ArcA-Pasp54 DNA-binding-site 97 bases upstream of rutAp	1074116	1074131	-	rutABCDEFG	
ArcA-Pasp54 DNA-binding-site 99 bases upstream of grcAp1	2716615	2716630	-	grcA	
ArcA-Pasp54 DNA-binding-site regulating aceEp2			+	aceEF // aceEF	
ArcA-Pasp54 DNA-binding-site regulating cydAp3			+	cydAB	
ArcA-Pasp54 DNA-binding-site regulating cydAp4			+	cydAB	
ArcA-Pasp54 DNA-binding-site regulating dsbB	1233172	1233187	-	dsbB	
ArcA-Pasp54 DNA-binding-site regulating fumAp			-	fumAC // fumA	
ArcA-Pasp54 DNA-binding-site regulating fumCp2			-	fumC	
ArcA-Pasp54 DNA-binding-site regulating gadAp2			-	gadAX // gadAX	
ArcA-Pasp54 DNA-binding-site regulating gadEp1			+	gadEF	
ArcA-Pasp54 DNA-binding-site regulating gadEp3			+	gadEF	
ArcA-Pasp54 DNA-binding-site regulating gatYp			-	gatYZABCD	
ArcA-Pasp54 DNA-binding-site regulating kgtP	2725807	2725822	-	kgtP	
ArcA-Pasp54 DNA-binding-site regulating mqo	2306815	2306830	-	mqo	
ArcA-Pasp54 DNA-binding-site regulating ndk	2644960	2644975	-	ndk	
ArcA-Pasp54 DNA-binding-site regulating oppAp			+	oppABCDF	
ArcA-Pasp54 DNA-binding-site regulating rmfp			+	rmf	
ArcA-Pasp54 DNA-binding-site regulating rpsJp			-	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	
ArcA-Pasp54 DNA-binding-site regulating rsdp2			-	rsd	
ArcA-Pasp54 DNA-binding-site regulating sucAp			+	sucAB // sucABCD-sdhX	
ArcA-Pasp54 DNA-binding-site regulating ubiCp			+	ubiCA	
ArcA-Pasp54 DNA-binding-site regulating xylRp			+	xylR	
ArcA-Pasp54 DNA-binding-site regulating yfiF	2718671	2718686	-	yfiF	
ArcA-Pasp54 DNA-binding-site regulating yhgE	3532612	3532627	-	yhgE	
ArcA-Pasp54 DNA-binding-site regulating yhjE	3674585	3674600	+	yhjE	
ArcA-Pasp54 DNA-binding-site regulating ynaJ	1397321	1397336	+	ynaJ	
ArgP DNA-binding-site 163.5 bases upstream of nrdAp	2344582	2344602	+	nrdAB-yfaE	
ArgP DNA-binding-site 190.5 bases upstream of nrdAp	2344555	2344575	+	nrdAB-yfaE	
ArgP DNA-binding-site 218.5 bases upstream of nrdAp	2344527	2344547	+	nrdAB-yfaE	
ArgP DNA-binding-site 219.5 bases downstream of dnaAp1	3883733	3883753	-	dnaAN-recF	
ArgP DNA-binding-site 244.5 bases upstream of nrdAp	2344501	2344521	+	nrdAB-yfaE	
ArgP DNA-binding-site 281.5 bases upstream of nrdAp	2344464	2344484	+	nrdAB-yfaE	
ArgP DNA-binding-site 334.5 bases upstream of nrdAp	2344411	2344431	+	nrdAB-yfaE	
ArgP DNA-binding-site 49.5 bases upstream of dnaAp1	3884001	3884021	-	dnaAN-recF	
ArgP DNA-binding-site 59.5 bases upstream of gdhAp	1842239	1842259	+	gdhA	
ArgP DNA-binding-site 61.5 bases upstream of dapBp1	28272	28292	+	dapB	
ArgP DNA-binding-site 62.5 bases upstream of lysPp	2248613	2248633	-	lysP	
ArgP DNA-binding-site 69.5 bases upstream of dnaAp1	3884021	3884041	-	dnaAN-recF	
ArgP DNA-binding-site 79.5 bases upstream of gdhAp	1842219	1842239	+	gdhA	
ArgP DNA-binding-site 81.5 bases upstream of dapBp1	28252	28272	+	dapB	
ArgP DNA-binding-site 82.5 bases upstream of lysPp	2248633	2248653	-	lysP	
ArgP DNA-binding-site regulating asd			-	asd	
ArgP DNA-binding-site regulating dapDp			-	dapD	
ArgP DNA-binding-site regulating lysAp			-	lysA	
ArgP DNA-binding-site regulating lysCp1			-	lysC	
ArgP-arginine DNA-binding-site 16.5 bases upstream of argPp	3059704	3059724	+	argP	
ArgP-arginine DNA-binding-site 33.5 bases upstream of argOp	3068860	3068880	-	argO	
ArgP-arginine DNA-binding-site 36.5 bases upstream of argPp	3059684	3059704	+	argP	
ArgP-arginine DNA-binding-site 53.5 bases upstream of argOp	3068880	3068900	-	argO	
ArgP-lysine DNA-binding-site (BS0-11037)					
ArgR DNA-binding-site 29.5 bases upstream of artPp	903790	903808	-	artPIQM	
ArgR DNA-binding-site 50.5 bases upstream of artPp	903811	903829	-	artPIQM	
ArgR-arg DNA-binding-site (BS0-11036)					
ArgR-arg DNA-binding-site (BS0-9153)	3519202	3519241			
ArgR-arg DNA-binding-site (BS0-9154)	121792	121831			
ArgR-arg DNA-binding-site (BS0-9155)	2430869	2430908			
ArgR-arg DNA-binding-site (BS0-9156)	880767	880806			
ArgR-arg DNA-binding-site (BS0-9157)	849151	849190			
ArgR-arg DNA-binding-site (BS0-9158)	2575928	2575967			
ArgR-arg DNA-binding-site (BS0-9159)	105232	105271			
ArgR-arg DNA-binding-site (BS0-9160)	3354541	3354580			
ArgR-arg DNA-binding-site (BS0-9161)	4294288	4294327			
ArgR-arg DNA-binding-site (BS0-9162)	4294256	4294295			
ArgR-arg DNA-binding-site (BS0-9163)	4294147	4294186			
ArgR-arg DNA-binding-site (BS0-9164)	2035538	2035577			
ArgR-arg DNA-binding-site (BS0-9165)	2035484	2035523			
ArgR-arg DNA-binding-site (BS0-9166)	2089964	2090003			
ArgR-arg DNA-binding-site (BS0-9167)	1405819	1405858			
ArgR-arg DNA-binding-site (BS0-9168)	932353	932392			
ArgR-arg DNA-binding-site (BS0-9169)	975739	975778			
ArgR-arg DNA-binding-site (BS0-9170)	1806222	1806261			
ArgR-arg DNA-binding-site (BS0-9171)	893697	893736			
ArgR-arg DNA-binding-site (BS0-9172)	1364244	1364283			
ArgR-arg DNA-binding-site (BS0-9173)	4472623	4472662			
ArgR-arg DNA-binding-site (BS0-9174)	2798743	2798782			
ArgR-arg DNA-binding-site (BS0-9175)	3808394	3808433			
ArgR-arg DNA-binding-site (BS0-9176)	45774	45813			
ArgR-arg DNA-binding-site (BS0-9177)	1679490	1679529			
ArgR-arg DNA-binding-site (BS0-9178)	2416994	2417033			
ArgR-arg DNA-binding-site (BS0-9179)	2591207	2591246			
ArgR-arg DNA-binding-site (BS0-9180)	316883	316922			
ArgR-arg DNA-binding-site (BS0-9181)	3298201	3298240			
ArgR-arg DNA-binding-site 1.5 bases upstream of argFp	290333	290351	-	argF	
ArgR-arg DNA-binding-site 1.5 bases upstream of argIp	4478337	4478355	-	argI	
ArgR-arg DNA-binding-site 121.5 bases upstream of astCp2	1832157	1832175	-	astCADBE	
ArgR-arg DNA-binding-site 125.5 bases upstream of argGp	3318428	3318446		argG // metY // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	
ArgR-arg DNA-binding-site 13.5 bases downstream of carAp2	29623	29641	+	carAB	
ArgR-arg DNA-binding-site 15.5 bases downstream of argGp	3318568	3318586		argG // metY // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	
ArgR-arg DNA-binding-site 16.5 bases downstream of argEp1	4154873	4154891		argE // argCBH	
ArgR-arg DNA-binding-site 19.5 bases upstream of argDp	3490232	3490250	-	argD	
